iter	Passed	Remaining
153	757	4160
154	762	4154
155	766	4147
156	770	4138
157	775	4133
158	780	4128
159	785	4126
160	791	4124
161	797	4123
162	802	4118
163	807	4117
164	813	4116
165	818	4112
166	824	4111
167	829	4107
168	833	4100
169	838	4094
170	844	4095
171	849	4088
172	854	4084
173	859	4082
174	865	4078
175	870	4073
176	876	4073
177	881	4070
178	886	4066
179	892	4065
180	897	4061
181	902	4058
182	908	4057
183	914	4053
184	919	4051
185	925	4049
186	929	4040
187	934	4034
188	938	4029
189	943	4023
190	948	4015
191	953	4011
192	957	4005
193	962	3997
194	966	3990
195	971	3986
196	976	3978
197	981	3974
198	986	3970
199	991	3966
200	997	3963
201	1002	3961
202	1007	3955
203	1011	3948
204	1016	3940
205	1021	3936
206	1025	3930
207	1030	3923
208	1035	3918
209	1039	3912
210	1044	3905
211	1048	3899
212	1054	3895
213	1059	3891
214	1063	3884
215	1069	3881
216	1073	3874
217	1078	3867
218	1083	3862
219	1087	3856
220	1092	3849
221	1096	3842
222	1101	3838
223	1105	3830
224	1110	3823
225	1114	3818
226	1119	3811
227	1123	3804
228	1127	3797
229	1132	3792
230	1137	3785
231	1141	3778
232	1145	3772
233	1151	3767
234	1155	3761
235	1159	3754
236	1165	3750
237	1169	3744
238	1173	3737
239	1178	3731
240	1183	3728
241	1188	3721
242	1192	3715
243	1198	3713
244	1202	3706
245	1207	3700
246	1212	3695
247	1216	3690
248	1221	3682
249	1225	3676
250	1230	3672
251	1235	3666
252	1239	3659
253	1244	3654
254	1249	3650
255	1254	3645
256	1259	3641
257	1264	3637
258	1269	3631
259	1273	3625
260	1279	3622
261	1283	3615
262	1287	3609
263	1292	3603
264	1297	3598
265	1302	3593
266	1306	3586
267	1311	3582
268	1315	3575
269	1320	3569
270	1324	3562
271	1329	3558
272	1333	3551
273	1337	3544
274	1343	3541
275	1347	3535
276	1352	3528
277	1356	3522
278	1361	3517
279	1365	3511
280	1369	3505
281	1374	3499
282	1379	3495
283	1383	3489
284	1388	3483
285	1394	3480
286	1399	3477
287	1403	3470
288	1409	3466
289	1413	3460
290	1417	3454
291	1422	3449
292	1427	3443
293	1431	3437
294	1435	3431
295	1441	3427
296	1445	3420
297	1449	3415
298	1454	3408
299	1460	3407
300	1465	3402
301	1469	3396
302	1475	3394
303	1479	3388
304	1484	3381
305	1490	3379
306	1494	3373
307	1498	3367
308	1503	3362
309	1508	3357
310	1512	3351
311	1517	3345
312	1522	3340
313	1526	3335
314	1530	3329
315	1535	3322
316	1540	3319
317	1546	3315
318	1551	3311
319	1556	3307
320	1561	3302
321	1566	3297
322	1571	3294
323	1576	3290
324	1582	3286
325	1588	3284
326	1593	3280
327	1599	3276
328	1605	3274
329	1610	3269
330	1615	3265
331	1620	3260
332	1625	3255
333	1629	3250
334	1635	3245
335	1640	3241
336	1645	3236
337	1649	3231
338	1655	3227
339	1660	3222
340	1664	3217
341	1670	3213
342	1676	3210
343	1680	3205
344	1686	3202
345	1691	3197
346	1696	3192
347	1701	3188
348	1706	3182
349	1710	3177
350	1715	3172
351	1720	3166
352	1724	3160
353	1728	3154
354	1733	3150
355	1738	3144
356	1742	3138
357	1746	3132
358	1751	3127
359	1756	3121
360	1760	3115
361	1765	3111
362	1769	3105
363	1774	3099
364	1778	3094
365	1783	3090
366	1788	3084
367	1792	3078
368	1798	3075
369	1803	3071
370	1808	3065
371	1813	3061
372	1817	3055
373	1821	3049
374	1826	3043
375	1831	3039
376	1835	3033
377	1839	3027
378	1844	3021
379	1849	3017
380	1853	3011
381	1858	3005
382	1863	3001
383	1867	2996
384	1872	2990
385	1877	2986
386	1881	2980
387	1887	2977
388	1892	2973
389	1898	2968
390	1902	2963
391	1906	2957
392	1911	2952
393	1917	2948
394	1922	2944
395	1928	2940
396	1933	2937
397	1939	2933
398	1944	2929
399	1950	2926
400	1955	2921
401	1962	2919
402	1968	2916
403	1974	2912
404	1980	2910
405	1986	2906
406	1992	2903
407	1999	2900
408	2005	2897
409	2011	2894
410	2016	2890
411	2022	2886
412	2028	2882
413	2033	2878
414	2039	2874
415	2045	2870
416	2050	2866
417	2055	2862
418	2061	2858
419	2066	2854
420	2072	2850
421	2078	2846
422	2083	2841
